[2025-12-10 15:02:16,314] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,314] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,315] [INFO]  Created universal zone: Universal Mixed Use (Entity: 63675)
[2025-12-10 15:02:16,315] [INFO]    UZS_LowCommercial: Priority=4, Group=ZonesUniversal
[2025-12-10 15:02:16,315] [INFO]    Removed ThemeObject from UZS_LowCommercial
[2025-12-10 15:02:16,315] [INFO]    Template ZoneData: AreaType=Commercial, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,317] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,317] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,318] [INFO]  Created universal zone: Universal Low Commercial (Entity: 63676)
[2025-12-10 15:02:16,318] [INFO]    UZS_HighCommercial: Priority=5, Group=ZonesUniversal
[2025-12-10 15:02:16,319] [INFO]    Removed ThemeObject from UZS_HighCommercial
[2025-12-10 15:02:16,319] [INFO]    Template ZoneData: AreaType=Commercial, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,320] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,320] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,321] [INFO]  Created universal zone: Universal High Commercial (Entity: 63677)
[2025-12-10 15:02:16,321] [INFO]    UZS_LowOffice: Priority=6, Group=ZonesUniversal
[2025-12-10 15:02:16,431] [INFO]    Template ZoneData: AreaType=Industrial, ZoneType=Game.Zones.ZoneType, ZoneFlags=Office
[2025-12-10 15:02:16,432] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,432] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,432] [INFO]  Created universal zone: Universal Low Office (Entity: 63678)
[2025-12-10 15:02:16,433] [INFO]    UZS_HighOffice: Priority=7, Group=ZonesUniversal
[2025-12-10 15:02:16,541] [INFO]    Template ZoneData: AreaType=Industrial, ZoneType=Game.Zones.ZoneType, ZoneFlags=SupportNarrow, SupportLeftCorner, SupportRightCorner, Office
[2025-12-10 15:02:16,541] [INFO]    Current ZoneData: AreaType=None, ZoneType=Game.Zones.ZoneType, ZoneFlags=0
[2025-12-10 15:02:16,541] [INFO]    Copied ZoneData to entity
[2025-12-10 15:02:16,543] [INFO]  Created universal zone: Universal High Office (Entity: 63679)
[2025-12-10 15:02:16,543] [INFO]  Created 8 universal zone prefabs.
[2025-12-10 15:02:16,543] [INFO]  Created 8 universal zones (registered via UIObject.m_Group)
[2025-12-10 15:02:16,544] [INFO]  === Universal Zone UI Creation Complete ===
[2025-12-10 15:02:20,419] [INFO]  Starting Universal Zone creation...
[2025-12-10 15:02:20,422] [INFO]  Cached 96 zone templates.
[2025-12-10 15:02:20,513] [INFO]  Collected 7655 spawnable buildings:
[2025-12-10 15:02:20,514] [INFO]    North America: 1290 buildings
[2025-12-10 15:02:20,514] [INFO]    European: 1290 buildings
[2025-12-10 15:02:20,515] [INFO]    Generic: 1115 buildings
[2025-12-10 15:02:20,515] [INFO]    Netherlands: 645 buildings
[2025-12-10 15:02:20,516] [INFO]    Eastern Europe: 642 buildings
